# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio10/13/202200:00
9.736765749796268965e-01,1.000000000000000000e+00,9.736765749796268965e-01,1.228912792853210867e+00,1.087716305610250123e+00,1.141603486301884240e+00,1.000000000000000000e+00,9.480460726640570490e-01
9.736755838377760819e-01,1.000000000000000000e+00,9.736755838377760819e-01,1.228921000626775450e+00,1.087718775446619546e+00,1.141607520302496681e+00,1.000000000000000000e+00,9.480441425618341134e-01
9.736745927354583108e-01,1.000000000000000000e+00,9.736745927354583108e-01,1.228929208085643543e+00,1.087721245166410888e+00,1.141611554115915528e+00,1.000000000000000000e+00,9.480422125385605803e-01
9.736736016726754706e-01,1.000000000000000000e+00,9.736736016726754706e-01,1.228937415229798047e+00,1.087723714769621264e+00,1.141615587742136562e+00,1.000000000000000000e+00,9.480402825942398914e-01
9.736726106494281163e-01,1.000000000000000000e+00,9.736726106494281163e-01,1.228945622059226306e+00,1.087726184256250672e+00,1.141619621181157562e+00,1.000000000000000000e+00,9.480383527288728240e-01
9.736716196657180245e-01,1.000000000000000000e+00,9.736716196657180245e-01,1.228953828573920326e+00,1.087728653626298891e+00,1.141623654432979418e+00,1.000000000000000000e+00,9.480364229424627087e-01
9.736706287215468603e-01,1.000000000000000000e+00,9.736706287215468603e-01,1.228962034773853018e+00,1.087731122879760814e+00,1.141627687497592802e+00,1.000000000000000000e+00,9.480344932350123210e-01
9.736696378169151789e-01,1.000000000000000000e+00,9.736696378169151789e-01,1.228970240659028157e+00,1.087733592016640216e+00,1.141631720375003711e+00,1.000000000000000000e+00,9.480325636065227712e-01
9.736686469518254228e-01,1.000000000000000000e+00,9.736686469518254228e-01,1.228978446229421095e+00,1.087736061036932655e+00,1.141635753065205039e+00,1.000000000000000000e+00,9.480306340569985002e-01
9.736676561262793683e-01,1.000000000000000000e+00,9.736676561262793683e-01,1.228986651485016957e+00,1.087738529940636800e+00,1.141639785568193455e+00,1.000000000000000000e+00,9.480287045864426165e-01
9.736666653402764604e-01,1.000000000000000000e+00,9.736666653402764604e-01,1.228994856425812188e+00,1.087740998727753983e+00,1.141643817883970735e+00,1.000000000000000000e+00,9.480267751948538990e-01
9.736656745938199187e-01,1.000000000000000000e+00,9.736656745938199187e-01,1.229003061051784140e+00,1.087743467398280206e+00,1.141647850012531107e+00,1.000000000000000000e+00,9.480248458822384539e-01
9.736646838869101872e-01,1.000000000000000000e+00,9.736646838869101872e-01,1.229011265362923044e+00,1.087745935952215692e+00,1.141651881953873682e+00,1.000000000000000000e+00,9.480229166485967252e-01
