# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
4.042796215739100418e+00,5.235987755975841651e+00,5.186275830134812637e+00,1.141328755801065853e+00,2.146112925789426473e+00,1.953078533520085758e+00,2.957078684954677517e+00,1.802407124298614605e+00
4.548664830039477636e+00,5.759586531534480969e+00,5.682643313167451637e+00,1.666366558673578524e+00,2.408631976052069135e+00,2.196426624831128827e+00,3.218161289754505994e+00,2.814144352899369039e+00
5.054533444508112261e+00,2.994937631228822283e-11,6.179010796368362257e+00,2.191404362028285036e+00,2.671151026529147821e+00,2.439774716050739922e+00,3.479243894612351173e+00,3.825881581836638290e+00
5.560402058967716776e+00,5.235987756467963550e-01,3.921929723796360179e-01,2.716442165689910482e+00,2.933670077133025966e+00,2.683122807089267869e+00,3.740326499441219532e+00,4.837618810755847321e+00
6.066270673422607729e+00,1.047197551205435673e+00,8.885604555667878657e-01,3.241479969658700000e+00,3.196189127863825252e+00,2.926470897950911088e+00,4.001409104240984504e+00,5.849356039665629226e+00
2.889539808077072891e-01,1.570796326822282651e+00,1.384927938863760311e+00,3.766517774051184375e+00,3.458708178779811959e+00,3.169818988691913919e+00,4.262491709069790247e+00,5.779079616154145782e-01
7.948225954218210987e-01,2.094395102439129630e+00,1.881295422209127821e+00,4.291555578809017391e+00,3.721227229851813867e+00,3.413167079281085758e+00,4.523574313898595101e+00,1.589645190843642197e+00
1.300691210033122935e+00,2.617993877997768948e+00,2.377662905553707517e+00,4.816593383873852829e+00,3.983746281050656091e+00,3.656515169695360612e+00,4.784656918698360073e+00,2.601382420066245871e+00
1.806559824693852789e+00,3.141592653556408266e+00,2.874030388946707149e+00,5.341631189304013816e+00,4.246265332405502413e+00,3.899863259957820460e+00,5.045739523498124157e+00,3.613119649387705579e+00
2.312428439520676449e+00,3.665191429231462905e+00,3.370397872504794279e+00,5.866668995216157256e+00,4.508784383974679955e+00,4.143211350126804859e+00,5.306822128355969781e+00,4.624856879041352897e+00
2.818297054286226455e+00,4.188790204790102223e+00,3.866765356003618592e+00,1.085214941972214575e-01,4.771303435641451429e+00,4.386559440091684969e+00,5.567904733155797814e+00,5.636594108572452910e+00
3.324165669159533820e+00,4.712388980406949202e+00,4.363132839609196623e+00,6.335593007814956934e-01,5.033822487493376130e+00,4.629907529933937838e+00,5.828987337984666617e+00,3.651460311394814084e-01
3.830034284024183222e+00,5.235987755965588519e+00,4.859500323205100614e+00,1.158597107672969528e+00,5.296341539472241067e+00,4.873255619595362020e+00,6.090069942784368529e+00,1.376883260868780212e+00
4.335902899002430644e+00,5.759586531582435498e+00,5.355867806916627671e+00,1.683634914987790054e+00,5.558860591636120674e+00,5.116603709140142620e+00,6.796724043365109935e-02,2.388620490825275056e+00
-1.441413793151260503e+00,1.969624463526997715e-11,-4.309500165058105514e-01,2.208672722668125310e+00,-4.618056632234874836e-01,-9.232335086483403064e-01,3.290498452623922265e-01,-2.882827586302521006e+00
-9.355451780741691481e-01,5.235987756365432233e-01,6.541746730253483744e-02,2.733710530713448605e+00,-1.992866107476741755e-01,-6.798854194070989010e-01,5.901324500912610294e-01,-1.871090356148338296e+00
-4.296765629996422975e-01,1.047197551195182541e+00,5.617849511103391036e-01,3.258748339065925315e+00,6.323244185505730308e-02,-4.365373303405600258e-01,8.512150548909622749e-01,-8.593531259992845950e-01
7.619205218035363103e-02,1.570796326812029520e+00,1.058152435021589621e+00,3.783786147841706082e+00,3.257514946427825242e-01,-1.931892413987640333e-01,1.112297659719830856e+00,1.523841043607072621e-01
5.820606674158628202e-01,2.094395102428876498e+00,1.554519918990376226e+00,4.308823956982695158e+00,5.882705475864535849e-01,5.015884739738385445e-02,1.373380264548699436e+00,1.164121334831725640e+00
1.087929282642583040e+00,2.617993877987515816e+00,2.050887402949358673e+00,4.833861766430675999e+00,8.507896006569624081e-01,2.935069360126920102e-01,1.634462869348464187e+00,2.175858565285166080e+00
1.593797897977181410e+00,3.141592653604362795e+00,2.547254887015210745e+00,5.358899576302307288e+00,1.113308653912638668e+00,5.368550245055004888e-01,1.895545474177205758e+00,3.187595795954362821e+00
2.099666513365133103e+00,3.665191429221209773e+00,3.043622371135424665e+00,5.883937386538987013e+00,1.375827707324181359e+00,7.802031128505878543e-01,2.156628079006011056e+00,4.199333026730266205e+00
2.605535128748101670e+00,4.188790204779849091e+00,3.539989855251661766e+00,1.257898899027818373e-01,1.638346760862416929e+00,1.023551201018794377e+00,2.417710683805839089e+00,5.211070257496203340e+00
3.111403744236788782e+00,4.712388980396696070e+00,4.036357339471595473e+00,6.508277008696516930e-01,1.900865814585739555e+00,1.266899289062428213e+00,2.678793288634707892e+00,6.222807488473577564e+00
3.617272359777175428e+00,5.235987756013543049e+00,4.532724823743236264e+00,1.175865512201917262e+00,2.163384868465102251e+00,1.510247376956521004e+00,2.939875893463449685e+00,9.513594123747646236e-01
4.123140975314480983e+00,5.759586531572182366e+00,5.029092308013812129e+00,1.700903323840723402e+00,2.425903922471078555e+00,1.753595464675721471e+00,3.200958498263277718e+00,1.963096643449375733e+00
4.629009590957502418e+00,9.443112958251731470e-12,5.525459792388079272e+00,2.225941135902981927e+00,2.688422976662123709e+00,1.996943552270373123e+00,3.462041103092146521e+00,2.974833874735418604e+00
5.134878206656283695e+00,5.235987756262900916e-01,6.021827276820138408e+00,2.750978948330603302e+00,2.950942031009193389e+00,2.240291639719567574e+00,3.723123707920888315e+00,3.986571106132981157e+00
5.640746822343984057e+00,1.047197551184929409e+00,2.350094540594982462e-01,3.276016761064857619e+00,3.213461085482922197e+00,2.483639726985830798e+00,3.984206312720652843e+00,4.998308337508381882e+00
6.146615438145522248e+00,1.570796326801776388e+00,7.313769385943142964e-01,3.801054574222529681e+00,3.475980140141704311e+00,2.726987814135691135e+00,4.245288917549458141e+00,6.010045569111458263e+00
3.692987468147270746e-01,2.094395102418623367e+00,1.227744423174342181e+00,4.326092387745148926e+00,3.738499194956302674e+00,2.970335901131799794e+00,4.506371522378326944e+00,7.385974936294541493e-01
8.751673627169882508e-01,2.617993878035470345e+00,1.724111907808866917e+00,4.851130201632829042e+00,4.001018249926775461e+00,3.213683987980325174e+00,4.767454127207194858e+00,1.750334725433976502e+00
