,pred
2002-07-03 00:10:00,1.0378
2002-07-03 00:20:00,1.0101
2002-07-03 00:30:00,0.9748
2002-07-03 00:40:00,0.9322
2002-07-03 00:50:00,0.8826
2002-07-03 01:00:00,0.8263
2002-07-03 01:10:00,0.7636
2002-07-03 01:20:00,0.6951
2002-07-03 01:30:00,0.6212
2002-07-03 01:40:00,0.5424
2002-07-03 01:50:00,0.4592
2002-07-03 02:00:00,0.3722
2002-07-03 02:10:00,0.282
2002-07-03 02:20:00,0.1893
2002-07-03 02:30:00,0.0947
2002-07-03 02:40:00,-0.0012
2002-07-03 02:50:00,-0.0977
2002-07-03 03:00:00,-0.194
2002-07-03 03:10:00,-0.2896
2002-07-03 03:20:00,-0.3837
2002-07-03 03:30:00,-0.4758
2002-07-03 03:40:00,-0.565
2002-07-03 03:50:00,-0.6509
2002-07-03 04:00:00,-0.7328
2002-07-03 04:10:00,-0.8102
2002-07-03 04:20:00,-0.8824
2002-07-03 04:30:00,-0.949
2002-07-03 04:40:00,-1.0096
2002-07-03 04:50:00,-1.0636
2002-07-03 05:00:00,-1.1107
2002-07-03 05:10:00,-1.1506
2002-07-03 05:20:00,-1.183
2002-07-03 05:30:00,-1.2076
2002-07-03 05:40:00,-1.2243
2002-07-03 05:50:00,-1.233
2002-07-03 06:00:00,-1.2335
2002-07-03 06:10:00,-1.2259
2002-07-03 06:20:00,-1.2103
2002-07-03 06:30:00,-1.1867
2002-07-03 06:40:00,-1.1553
2002-07-03 06:50:00,-1.1164
2002-07-03 07:00:00,-1.0701
2002-07-03 07:10:00,-1.0168
2002-07-03 07:20:00,-0.9568
2002-07-03 07:30:00,-0.8907
2002-07-03 07:40:00,-0.8188
2002-07-03 07:50:00,-0.7416
2002-07-03 08:00:00,-0.6597
2002-07-03 08:10:00,-0.5736
2002-07-03 08:20:00,-0.4839
2002-07-03 08:30:00,-0.3913
2002-07-03 08:40:00,-0.2964
2002-07-03 08:50:00,-0.1998
2002-07-03 09:00:00,-0.1022
2002-07-03 09:10:00,-0.0042
2002-07-03 09:20:00,0.0934
2002-07-03 09:30:00,0.19
2002-07-03 09:40:00,0.285
2002-07-03 09:50:00,0.3777
2002-07-03 10:00:00,0.4674
2002-07-03 10:10:00,0.5536
2002-07-03 10:20:00,0.6357
2002-07-03 10:30:00,0.7131
2002-07-03 10:40:00,0.7853
2002-07-03 10:50:00,0.8518
2002-07-03 11:00:00,0.9123
2002-07-03 11:10:00,0.9662
2002-07-03 11:20:00,1.0133
2002-07-03 11:30:00,1.0533
2002-07-03 11:40:00,1.0859
2002-07-03 11:50:00,1.1109
2002-07-03 12:00:00,1.1281
2002-07-03 12:10:00,1.1376
2002-07-03 12:20:00,1.1392
2002-07-03 12:30:00,1.1329
2002-07-03 12:40:00,1.119
2002-07-03 12:50:00,1.0974
2002-07-03 13:00:00,1.0684
2002-07-03 13:10:00,1.0322
2002-07-03 13:20:00,0.9891
2002-07-03 13:30:00,0.9394
2002-07-03 13:40:00,0.8836
2002-07-03 13:50:00,0.822
2002-07-03 14:00:00,0.7551
2002-07-03 14:10:00,0.6835
2002-07-03 14:20:00,0.6075
2002-07-03 14:30:00,0.5279
2002-07-03 14:40:00,0.4452
2002-07-03 14:50:00,0.3599
2002-07-03 15:00:00,0.2728
2002-07-03 15:10:00,0.1844
2002-07-03 15:20:00,0.0954
2002-07-03 15:30:00,0.0065
2002-07-03 15:40:00,-0.0818
2002-07-03 15:50:00,-0.1688
2002-07-03 16:00:00,-0.2539
2002-07-03 16:10:00,-0.3365
2002-07-03 16:20:00,-0.4159
2002-07-03 16:30:00,-0.4917
2002-07-03 16:40:00,-0.5632
2002-07-03 16:50:00,-0.6301
2002-07-03 17:00:00,-0.6918
2002-07-03 17:10:00,-0.7478
2002-07-03 17:20:00,-0.7979
2002-07-03 17:30:00,-0.8417
2002-07-03 17:40:00,-0.8789
2002-07-03 17:50:00,-0.9092
2002-07-03 18:00:00,-0.9325
2002-07-03 18:10:00,-0.9485
2002-07-03 18:20:00,-0.9573
2002-07-03 18:30:00,-0.9587
2002-07-03 18:40:00,-0.9529
2002-07-03 18:50:00,-0.9398
2002-07-03 19:00:00,-0.9196
2002-07-03 19:10:00,-0.8925
2002-07-03 19:20:00,-0.8586
2002-07-03 19:30:00,-0.8183
2002-07-03 19:40:00,-0.7719
2002-07-03 19:50:00,-0.7197
2002-07-03 20:00:00,-0.6622
2002-07-03 20:10:00,-0.5997
2002-07-03 20:20:00,-0.5329
2002-07-03 20:30:00,-0.462
2002-07-03 20:40:00,-0.3878
2002-07-03 20:50:00,-0.3108
2002-07-03 21:00:00,-0.2315
2002-07-03 21:10:00,-0.1506
2002-07-03 21:20:00,-0.0686
2002-07-03 21:30:00,0.0138
2002-07-03 21:40:00,0.0961
2002-07-03 21:50:00,0.1776
2002-07-03 22:00:00,0.2576
2002-07-03 22:10:00,0.3357
2002-07-03 22:20:00,0.4112
2002-07-03 22:30:00,0.4835
2002-07-03 22:40:00,0.5522
2002-07-03 22:50:00,0.6167
2002-07-03 23:00:00,0.6765
2002-07-03 23:10:00,0.7313
2002-07-03 23:20:00,0.7805
2002-07-03 23:30:00,0.8238
2002-07-03 23:40:00,0.8609
2002-07-03 23:50:00,0.8916
2002-07-04 00:00:00,0.9155
2002-07-04 00:10:00,0.9326
2002-07-04 00:20:00,0.9426
2002-07-04 00:30:00,0.9455
2002-07-04 00:40:00,0.9413
2002-07-04 00:50:00,0.93
2002-07-04 01:00:00,0.9116
2002-07-04 01:10:00,0.8864
2002-07-04 01:20:00,0.8544
2002-07-04 01:30:00,0.8159
2002-07-04 01:40:00,0.7712
2002-07-04 01:50:00,0.7206
2002-07-04 02:00:00,0.6645
2002-07-04 02:10:00,0.6032
2002-07-04 02:20:00,0.5372
2002-07-04 02:30:00,0.467
2002-07-04 02:40:00,0.393
2002-07-04 02:50:00,0.3159
2002-07-04 03:00:00,0.2361
2002-07-04 03:10:00,0.1542
2002-07-04 03:20:00,0.0709
2002-07-04 03:30:00,-0.0133
2002-07-04 03:40:00,-0.0978
2002-07-04 03:50:00,-0.1819
2002-07-04 04:00:00,-0.2651
2002-07-04 04:10:00,-0.3467
2002-07-04 04:20:00,-0.4262
2002-07-04 04:30:00,-0.5031
2002-07-04 04:40:00,-0.5766
2002-07-04 04:50:00,-0.6463
2002-07-04 05:00:00,-0.7118
2002-07-04 05:10:00,-0.7724
2002-07-04 05:20:00,-0.8279
2002-07-04 05:30:00,-0.8777
2002-07-04 05:40:00,-0.9215
2002-07-04 05:50:00,-0.9591
2002-07-04 06:00:00,-0.99
2002-07-04 06:10:00,-1.0141
2002-07-04 06:20:00,-1.0312
2002-07-04 06:30:00,-1.0412
2002-07-04 06:40:00,-1.044
2002-07-04 06:50:00,-1.0396
2002-07-04 07:00:00,-1.0279
2002-07-04 07:10:00,-1.0091
2002-07-04 07:20:00,-0.9832
2002-07-04 07:30:00,-0.9505
2002-07-04 07:40:00,-0.9112
2002-07-04 07:50:00,-0.8654
2002-07-04 08:00:00,-0.8137
2002-07-04 08:10:00,-0.7562
2002-07-04 08:20:00,-0.6934
2002-07-04 08:30:00,-0.6258
2002-07-04 08:40:00,-0.5537
2002-07-04 08:50:00,-0.4778
2002-07-04 09:00:00,-0.3985
2002-07-04 09:10:00,-0.3163
2002-07-04 09:20:00,-0.2319
2002-07-04 09:30:00,-0.1458
2002-07-04 09:40:00,-0.0586
2002-07-04 09:50:00,0.0291
2002-07-04 10:00:00,0.1167
2002-07-04 10:10:00,0.2035
2002-07-04 10:20:00,0.2889
2002-07-04 10:30:00,0.3725
2002-07-04 10:40:00,0.4536
2002-07-04 10:50:00,0.5316
2002-07-04 11:00:00,0.606
2002-07-04 11:10:00,0.6763
2002-07-04 11:20:00,0.742
2002-07-04 11:30:00,0.8027
2002-07-04 11:40:00,0.858
2002-07-04 11:50:00,0.9074
2002-07-04 12:00:00,0.9507
2002-07-04 12:10:00,0.9875
2002-07-04 12:20:00,1.0176
2002-07-04 12:30:00,1.0409
2002-07-04 12:40:00,1.0571
2002-07-04 12:50:00,1.0661
2002-07-04 13:00:00,1.068
2002-07-04 13:10:00,1.0627
2002-07-04 13:20:00,1.0503
2002-07-04 13:30:00,1.0308
2002-07-04 13:40:00,1.0045
2002-07-04 13:50:00,0.9715
2002-07-04 14:00:00,0.932
2002-07-04 14:10:00,0.8863
2002-07-04 14:20:00,0.8349
2002-07-04 14:30:00,0.778
2002-07-04 14:40:00,0.716
2002-07-04 14:50:00,0.6495
2002-07-04 15:00:00,0.5788
2002-07-04 15:10:00,0.5045
2002-07-04 15:20:00,0.4271
2002-07-04 15:30:00,0.3472
2002-07-04 15:40:00,0.2652
2002-07-04 15:50:00,0.1819
2002-07-04 16:00:00,0.0977
2002-07-04 16:10:00,0.0132
2002-07-04 16:20:00,-0.0708
2002-07-04 16:30:00,-0.154
2002-07-04 16:40:00,-0.2356
2002-07-04 16:50:00,-0.3152
2002-07-04 17:00:00,-0.3922
2002-07-04 17:10:00,-0.466
2002-07-04 17:20:00,-0.5362
2002-07-04 17:30:00,-0.6022
2002-07-04 17:40:00,-0.6637
2002-07-04 17:50:00,-0.7202
2002-07-04 18:00:00,-0.7713
2002-07-04 18:10:00,-0.8168
2002-07-04 18:20:00,-0.8562
2002-07-04 18:30:00,-0.8895
2002-07-04 18:40:00,-0.9163
2002-07-04 18:50:00,-0.9364
2002-07-04 19:00:00,-0.9499
2002-07-04 19:10:00,-0.9566
2002-07-04 19:20:00,-0.9565
2002-07-04 19:30:00,-0.9496
2002-07-04 19:40:00,-0.9361
2002-07-04 19:50:00,-0.916
2002-07-04 20:00:00,-0.8895
2002-07-04 20:10:00,-0.8569
2002-07-04 20:20:00,-0.8184
2002-07-04 20:30:00,-0.7743
2002-07-04 20:40:00,-0.7249
2002-07-04 20:50:00,-0.6707
2002-07-04 21:00:00,-0.6121
2002-07-04 21:10:00,-0.5494
2002-07-04 21:20:00,-0.4832
2002-07-04 21:30:00,-0.414
2002-07-04 21:40:00,-0.3423
2002-07-04 21:50:00,-0.2686
2002-07-04 22:00:00,-0.1934
2002-07-04 22:10:00,-0.1174
2002-07-04 22:20:00,-0.041
2002-07-04 22:30:00,0.0351
2002-07-04 22:40:00,0.1104
2002-07-04 22:50:00,0.1844
2002-07-04 23:00:00,0.2565
2002-07-04 23:10:00,0.3262
2002-07-04 23:20:00,0.3929
2002-07-04 23:30:00,0.4563
2002-07-04 23:40:00,0.5159
2002-07-04 23:50:00,0.5711
2002-07-05 00:00:00,0.6217
2002-07-05 00:10:00,0.6673
2002-07-05 00:20:00,0.7076
2002-07-05 00:30:00,0.7422
2002-07-05 00:40:00,0.7709
2002-07-05 00:50:00,0.7935
2002-07-05 01:00:00,0.81
2002-07-05 01:10:00,0.8201
2002-07-05 01:20:00,0.8238
2002-07-05 01:30:00,0.8211
2002-07-05 01:40:00,0.8121
2002-07-05 01:50:00,0.7968
2002-07-05 02:00:00,0.7753
2002-07-05 02:10:00,0.7478
2002-07-05 02:20:00,0.7146
2002-07-05 02:30:00,0.6758
2002-07-05 02:40:00,0.6319
2002-07-05 02:50:00,0.583
2002-07-05 03:00:00,0.5296
2002-07-05 03:10:00,0.4722
2002-07-05 03:20:00,0.411
2002-07-05 03:30:00,0.3466
2002-07-05 03:40:00,0.2795
2002-07-05 03:50:00,0.2102
2002-07-05 04:00:00,0.1392
2002-07-05 04:10:00,0.0669
2002-07-05 04:20:00,-0.0059
2002-07-05 04:30:00,-0.0789
2002-07-05 04:40:00,-0.1514
2002-07-05 04:50:00,-0.2229
2002-07-05 05:00:00,-0.2929
2002-07-05 05:10:00,-0.3609
2002-07-05 05:20:00,-0.4263
2002-07-05 05:30:00,-0.4887
2002-07-05 05:40:00,-0.5475
2002-07-05 05:50:00,-0.6024
2002-07-05 06:00:00,-0.6529
2002-07-05 06:10:00,-0.6986
2002-07-05 06:20:00,-0.7393
2002-07-05 06:30:00,-0.7745
2002-07-05 06:40:00,-0.8041
2002-07-05 06:50:00,-0.8277
2002-07-05 07:00:00,-0.8452
2002-07-05 07:10:00,-0.8565
2002-07-05 07:20:00,-0.8614
2002-07-05 07:30:00,-0.8599
2002-07-05 07:40:00,-0.852
2002-07-05 07:50:00,-0.8377
2002-07-05 08:00:00,-0.8171
2002-07-05 08:10:00,-0.7904
2002-07-05 08:20:00,-0.7576
2002-07-05 08:30:00,-0.7191
2002-07-05 08:40:00,-0.6751
2002-07-05 08:50:00,-0.6258
2002-07-05 09:00:00,-0.5717
2002-07-05 09:10:00,-0.513
2002-07-05 09:20:00,-0.4503
2002-07-05 09:30:00,-0.3838
2002-07-05 09:40:00,-0.3142
2002-07-05 09:50:00,-0.2418
2002-07-05 10:00:00,-0.1672
2002-07-05 10:10:00,-0.0909
2002-07-05 10:20:00,-0.0134
2002-07-05 10:30:00,0.0647
2002-07-05 10:40:00,0.1429
2002-07-05 10:50:00,0.2206
2002-07-05 11:00:00,0.2974
2002-07-05 11:10:00,0.3726
2002-07-05 11:20:00,0.4457
2002-07-05 11:30:00,0.5162
2002-07-05 11:40:00,0.5837
2002-07-05 11:50:00,0.6475
2002-07-05 12:00:00,0.7074
