# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
1.167448761052977346e+00,2.617993877872173414e+00,4.118730540021223518e+00,4.546710496616441333e+00,6.951988910348809725e-01,5.320942798216992120e-01,1.808442462108060589e+00,2.334897522105954693e+00
1.673315727808763143e+00,3.141592653605435714e+00,4.615096375332810474e+00,5.071733595563742369e+00,9.577105371315273175e-01,7.754515772428698384e-01,2.069525066990946627e+00,3.346631455617526285e+00
2.179182694495354511e+00,3.665191429222282693e+00,5.111462210581285248e+00,5.596756694755043782e+00,1.220222183404509941e+00,1.018808874257303154e+00,2.330607671815751125e+00,4.358365388990709022e+00
2.685049661104629948e+00,4.188790204722714350e+00,5.607828045754455815e+00,6.121779794190342017e+00,1.482733829853827956e+00,1.262166170856874325e+00,2.591690276582475860e+00,5.370099322209259896e+00
3.190916627966275954e+00,4.712388980455976650e+00,6.104193881171903868e+00,3.636175870400890631e-01,1.745245476654494254e+00,1.505523467196261622e+00,2.852772881465361010e+00,9.864794875296567511e-02
3.696783594758734637e+00,5.235987756072823629e+00,3.173744093466437377e-01,8.886406873134617967e-01,2.007757123631510154e+00,1.748880763128905169e+00,3.113855486290166397e+00,1.110381882337883042e+00
4.202650561473882718e+00,5.759586531573255286e+00,8.137402446256887245e-01,1.413663787830895302e+00,2.270268770784882761e+00,1.992238058646670140e+00,3.374938091056890244e+00,2.122115815768179203e+00
-1.574667778850531441e+00,1.051603248924948275e-11,-4.973079227140891234e+00,1.938686888825989385e+00,2.532780418231411090e+00,-4.047589953329488566e+00,-2.647164611298017611e+00,-3.149335557701062882e+00
-1.068800811955997521e+00,5.235987756273630112e-01,-4.476713391686523380e+00,2.463709990181843779e+00,2.795292065912641011e+00,-3.804232658482608720e+00,-2.386082006473340122e+00,-2.137601623911995041e+00
-5.629338451349652495e-01,1.047197551127794668e+00,-3.980347556301593759e+00,2.988733091781551110e+00,3.057803713770117504e+00,-3.560875364046686364e+00,-2.124999401706615387e+00,-1.125867690269930499e+00
-5.706687805773746902e-02,1.570796326861056968e+00,-3.483981720666530002e+00,3.513756193975133613e+00,3.320315361978847690e+00,-3.317518069867030128e+00,-1.863916796823603228e+00,-1.141337561154749380e-01
4.488000889424350603e-01,2.094395102477903947e+00,-2.987615885106524871e+00,4.038779296413109066e+00,3.582827010364090015e+00,-3.074160776102148773e+00,-1.602834191998797841e+00,8.976001778848701207e-01
9.546670558693706177e-01,2.617993877978335604e+00,-2.491250049615692408e+00,4.563802399095244766e+00,3.845338658925723685e+00,-2.830803482748105004e+00,-1.341751587232073994e+00,1.909334111738741235e+00
1.460534022940406018e+00,3.141592653595182583e+00,-1.994884213984820853e+00,5.088825502255142297e+00,4.107850307780547716e+00,-2.587446189704358357e+00,-1.080668982407395617e+00,2.921068045880812036e+00
1.966400990042683095e+00,3.665191429212029561e+00,-1.498518378324711353e+00,5.613848605775897838e+00,4.370361956870107534e+00,-2.344088897025314644e+00,-8.195863775827181286e-01,3.932801980085366189e+00
2.472267957075533484e+00,4.188790204712461218e+00,-1.002152542727978046e+00,6.138871709540607569e+00,4.632873606135948563e+00,-2.100731604753185877e+00,-5.585037728159933934e-01,4.944535914151066969e+00
2.978134924251979676e+00,4.712388980329308197e+00,-5.057867069916817115e-01,3.807095066030381503e-01,4.895385255694746363e+00,-1.857374312791626902e+00,-2.974211679910618855e-01,5.956269848503959352e+00
3.484001891576596677e+00,5.235987756062570497e+00,-9.420871109246498065e-03,9.057326113228825193e-01,5.157896905546755839e+00,-1.614017021136315844e+00,-3.633856310817584756e-02,6.848184759736071214e-01
3.989868858715633237e+00,5.759586531563002154e+00,4.869449645936729798e-01,1.430755716170574843e+00,5.420408555516987192e+00,-1.370659729946015926e+00,2.247440416584209899e-01,1.696552410251680243e+00
4.495735825998267821e+00,2.629008122312370688e-13,9.833108004361559296e-01,1.955778821495618658e+00,5.682920205780188638e+00,-1.127302439066295570e+00,4.858266464832263765e-01,2.708286344816949409e+00
5.001602793428824079e+00,5.235987757335252013e-01,1.479676636424530622e+00,2.480801927298289300e+00,5.945431856336495180e+00,-8.839451484929656822e-01,7.469092513661115262e-01,3.720020279678061925e+00
5.507469760673295411e+00,1.047197551233956858e+00,1.976042472232885316e+00,3.005825033228346044e+00,6.207943507010783790e+00,-6.405878583849113905e-01,1.007991856132963271e+00,4.731754214167004591e+00
6.013336728061881686e+00,1.570796326850803837e+00,2.472408308181318848e+00,3.530848139636315608e+00,1.872698507987289318e-01,-3.972305685871939662e-01,1.269074460957767769e+00,5.743488148944177141e+00
2.360183883067064059e-01,2.094395102467650815e+00,2.968774144165580609e+00,4.055871246405800434e+00,4.497815020013025133e-01,-1.538732791499000108e-01,1.530157065782319137e+00,4.720367766134128118e-01
7.418853555407221023e-01,2.617993877851667150e+00,3.465139979963463901e+00,4.580894353302468858e+00,7.122931533217498057e-01,8.948400981791748698e-02,1.791239670490962332e+00,1.483770711081444205e+00
1.247752323147875764e+00,3.141592653584929451e+00,3.961505816128433555e+00,5.105917460910177397e+00,9.748048050519972918e-01,3.328412985878630437e-01,2.052322275373848370e+00,2.495504646295751527e+00
1.753619290794420138e+00,3.665191429318191751e+00,4.457871652334830515e+00,5.630940568878951780e+00,1.237316457017052507e+00,5.761985870011854249e-01,2.313404880256733520e+00,3.507238581588840276e+00
2.259486258134153047e+00,4.188790204702208086e+00,4.954237488238428355e+00,6.155963676858537070e+00,1.499828109041788871e+00,8.195558748868083665e-01,2.574487484965504613e+00,4.518972516268306094e+00
2.765353225847540841e+00,4.712388980435470387e+00,5.450603324509634362e+00,3.978014783701411261e-01,1.762339761476598099e+00,1.062913162574802728e+00,2.835570089848262754e+00,5.530706451695081682e+00
3.271220193600061776e+00,5.235987756168732687e+00,5.946969160822005662e+00,9.228245874221805423e-01,2.024851414146102258e+00,1.306270449906030473e+00,3.096652694731148792e+00,2.592550800205373207e-01
3.777087161046040364e+00,5.759586531552749022e+00,1.601496896522629498e-01,1.447847696485347058e+00,2.287363066875437667e+00,1.549627736709676018e+00,3.357735299439791987e+00,1.270989014912494497e+00
4.282954128748748701e+00,6.283185307169596001e+00,6.565155259127886112e-01,1.972870806143241396e+00,2.549874719956397584e+00,1.792985023257218202e+00,3.618817904264470364e+00,2.282722950317911170e+00
-1.494364210684921090e+00,5.235987756068567478e-01,-5.130303944959013762e+00,2.497893916162038153e+00,2.812386373272072859e+00,-4.246842997727538815e+00,-2.403284798090311369e+00,-2.988728421369842181e+00
-9.884972430205913874e-01,1.047197551107288405e+00,-4.633938108732834849e+00,3.022917026425091080e+00,3.074898026764133707e+00,-4.003485711951889847e+00,-2.142202193323459625e+00,-1.976994486041182775e+00
-4.826302750952082832e-01,1.570796326840550705e+00,-4.137572272249632199e+00,3.547940137283173812e+00,3.337409680607966500e+00,-3.760128426428166915e+00,-1.881119588440700596e+00,-9.652605501904165664e-01
2.323669275672024526e-02,2.094395102457397684e+00,-3.641206435835838917e+00,4.072963248385546464e+00,3.599921334628198633e+00,-3.516771141315505389e+00,-1.620036983615896098e+00,4.647338551344049051e-02
5.291036605273200522e-01,2.617993877957829341e+00,-3.144840599503390344e+00,4.597986359732473716e+00,3.862432988824959335e+00,-3.273413856621908646e+00,-1.358954378849172251e+00,1.058207321054640104e+00
1.034970628558471439e+00,3.141592653691091641e+00,-2.648474762914418967e+00,5.123009471673976023e+00,4.124944643373257058e+00,-3.030056572180503949e+00,-1.097871773966286213e+00,2.069941257116942879e+00
1.540837596400262299e+00,3.665191429191523298e+00,-2.152108926510778897e+00,5.648032583743907153e+00,4.387456298040014246e+00,-2.786699288208128067e+00,-8.367891691998154968e-01,3.081675192800524599e+00
2.046704564276640603e+00,4.188790204691954955e+00,-1.655743090072566037e+00,6.173055696174351681e+00,4.649967952941273630e+00,-2.543342004596872652e+00,-5.757065644329646403e-01,4.093409128553281207e+00
2.552571532413827615e+00,4.712388980425217255e+00,-1.159377253377560590e+00,4.148935020200905655e-01,4.912479608194212588e+00,-2.299984721237696483e+00,-3.146239595500786024e-01,5.105143064827655230e+00
3.058438500477822064e+00,5.235987756042064234e+00,-6.630114167517013879e-01,9.399166152900537696e-01,5.174991263623710758e+00,-2.056627438289478249e+00,-5.354135472527410400e-02,6.116877000955644128e+00
3.564305468460494453e+00,5.759586531542495891e+00,-1.666455802071939996e-01,1.464939728804672825e+00,5.437502919229773468e+00,-1.813270155760354108e+00,2.075412500414506312e-01,8.454256297414026733e-01
4.070172436591128040e+00,6.283185307159342869e+00,3.297202564832757421e-01,1.989962842797302400e+00,5.700014575129074501e+00,-1.569912873537714137e+00,4.686238548662551295e-01,1.857159566002669848e+00
4.576039404874034489e+00,5.235987757130189379e-01,8.260860933260310013e-01,2.514985957268205397e+00,5.962526231321743531e+00,-1.326555591617375240e+00,7.297064597490141580e-01,2.868893502568482745e+00
5.081906372962516016e+00,1.047197551213450595e+00,1.322451929976346641e+00,3.040009071866643708e+00,6.225037887632408840e+00,-1.083198310170667034e+00,9.907890645158650145e-01,3.880627438745445801e+00
5.587773341199210542e+00,1.570796326830297573e+00,1.818817766772874212e+00,3.565032186943387416e+00,2.043642370568665712e-01,-8.398410290303304215e-01,1.251871669340670401e+00,4.892361375218834851e+00
6.093640309471517469e+00,2.094395102447144552e+00,2.315183603605015517e+00,4.090055302381799152e+00,4.668758938959687299e-01,-5.964837482506442079e-01,1.512954274165347890e+00,5.904095311763448706e+00
3.163219704867401560e-01,2.617993877947576209e+00,2.811549440361676755e+00,4.615078418064705090e+00,7.293875509115386180e-01,-3.531264678861341100e-01,1.774036878932072625e+00,6.326439409734803121e-01
8.221889388297665135e-01,3.141592653564423188e+00,3.307915277264518839e+00,5.140101534225976820e+00,9.918992082205111416e-01,-1.097691878280129263e-01,2.035119483756750114e+00,1.644377877659533027e+00
1.328055907324572793e+00,3.665191429297685488e+00,3.804281114319176815e+00,5.665124650865116962e+00,1.254410865822632282e+00,1.335880919275305168e-01,2.296202088639636152e+00,2.656111814649145586e+00
1.833922875625212612e+00,4.188790204798117145e+00,4.300646951181647637e+00,6.190147767632140585e+00,1.516922523542908685e+00,3.769453712095458542e-01,2.557284693406487897e+00,3.667845751250425224e+00
2.339789844074079639e+00,4.712388980414964124e+00,4.797012788190335719e+00,4.319855776979935058e-01,1.779434181556604599e+00,6.203026501851649499e-01,2.818367298231292395e+00,4.679579688148159278e+00
2.845656812558821969e+00,5.235987756031811102e+00,5.293378625234927526e+00,9.570086953054399714e-01,2.041945839805512364e+00,8.636599288002384522e-01,3.079449903055842874e+00,5.691313625117643937e+00
3.351523780965818489e+00,5.759586531532242759e+00,5.789744462203758602e+00,1.482031813157238531e+00,2.304457498230801704e+00,1.107017206999977521e+00,3.340532507822567609e+00,4.198622547520507453e-01
3.857390749520792639e+00,6.283185307149089738e+00,2.924992138963133925e-03,2.007054931487243010e+00,2.566969156949395980e+00,1.350374484893181570e+00,3.601615112647372996e+00,1.431596191861999046e+00
-1.919927588952031527e+00,5.235987757027658063e-01,-5.783894477774027543e+00,2.532078050295213600e+00,2.829480815961177509e+00,-4.689453544695801668e+00,-2.420487589649201077e+00,-3.839855177904063055e+00
-1.414060620551523151e+00,1.047197551086782141e+00,-5.287528640809652458e+00,3.057101169115011174e+00,3.091992475033069177e+00,-4.446096267632773547e+00,-2.159404984940556993e+00,-2.828121241103046302e+00
-9.081936517775672790e-01,1.570796326820044442e+00,-4.791162803477892140e+00,3.582124288646653554e+00,3.354504134515078562e+00,-4.202738990767619143e+00,-1.898322380057798853e+00,-1.816387303555134558e+00
-4.023266829644285281e-01,2.094395102553306742e+00,-4.294796966104918567e+00,4.107147408539647770e+00,3.617015794231957404e+00,-3.959381714259358365e+00,-1.637239775174912815e+00,-8.046533659288570561e-01
1.035402855422122848e-01,2.617993877937323077e+00,-3.798431129034430587e+00,4.632170528444261137e+00,3.879527454008836695e+00,-3.716024438278802577e+00,-1.376157170466269619e+00,2.070805710844245695e-01
6.094072544220474619e-01,3.141592653670585378e+00,-3.302065291596791408e+00,5.157193649060516805e+00,4.142039114195724459e+00,-3.472667162496266613e+00,-1.115074565583383581e+00,1.218814508844094924e+00
1.115274223112054930e+00,3.665191429171017035e+00,-2.805699454344936949e+00,5.682216769805091161e+00,4.404550774500957999e+00,-3.229309887183110739e+00,-8.539919608166597342e-01,2.230548446224109860e+00
1.621141191837444318e+00,4.188790204671448691e+00,-2.309333617057712562e+00,6.207239890911337099e+00,4.667062435041209767e+00,-2.985952612230797332e+00,-5.929093560499349991e-01,3.242282383674888635e+00
2.127008160823683269e+00,4.712388980404710992e+00,-1.812967779513669608e+00,4.490777054332752982e-01,4.929574095933281441e+00,-2.742595337530659538e+00,-3.318267511671759706e-01,4.254016321647366539e+00
2.632875129736516051e+00,5.235987756021557971e+00,-1.316601942038987838e+00,9.741008273795834782e-01,5.192085757001922985e+00,-2.499238063241703944e+00,-7.074414634237147226e-02,5.265750259473032102e+00
3.138742098568065408e+00,5.759586531521989627e+00,-8.202361046456039251e-01,1.499123949570947190e+00,5.454597418247267626e+00,-2.255880789371941475e+00,1.903384584243532629e-01,6.277484197136130817e+00
3.644609067664281721e+00,7.566569593109306879e-11,-3.238702669895545672e-01,2.024147072357383337e+00,5.717109079844322039e+00,-2.012523515750426206e+00,4.514210633072384127e-01,1.006032828148977210e+00
4.150476036679217273e+00,5.235987756925126746e-01,1.724955705852018184e-01,2.549170195388905213e+00,5.979620741618089319e+00,-1.769166242548110501e+00,7.125036681320437992e-01,2.017766766178848314e+00
4.656343005616943032e+00,1.047197551192944331e+00,6.688614080847616883e-01,3.074193318665535912e+00,6.242132403568577459e+00,-1.525808969760933387e+00,9.735862728987676462e-01,3.029500704054299831e+00
5.162209974702919979e+00,1.570796326809791310e+00,1.165227245730570793e+00,3.599216442420868134e+00,2.214587586329974656e-01,-1.282451697280226233e+00,1.234668877723446023e+00,4.041234642226253726e+00
5.668076943824040370e+00,2.094395102426638289e+00,1.661593083411510685e+00,4.124239566537756474e+00,4.839704211119428834e-01,-1.039094425160521196e+00,1.495751482548250522e+00,5.052968580468494508e+00
6.173943912867951411e+00,2.617993877927069946e+00,2.157958921017239184e+00,4.649262690899792716e+00,7.464820837676233722e-01,-7.957371534559671833e-01,1.756834087314975257e+00,6.064702518556316591e+00
3.966255749972065203e-01,3.141592653660332246e+00,2.654324758885914459e+00,5.174285815857263771e+00,1.008993746775178835e+00,-5.523798819995615617e-01,2.017916692197733397e+00,7.932511499944130406e-01
9.024925442242697216e-01,3.665191429277179225e+00,3.150690596672798272e+00,5.699308941059406663e+00,1.271505409959226007e+00,-3.090226109626323936e-01,2.278999297022665793e+00,1.804985088448539443e+00
1.408359513374385585e+00,4.188790204777610882e+00,3.647056434384732260e+00,6.224332066507010097e+00,1.534017073320154800e+00,-6.566534034073812087e-02,2.540081901789389640e+00,2.816719026748771171e+00
1.914226482676571806e+00,4.712388980394457860e+00,4.143422272248751703e+00,4.661698852535884896e-01,1.796528736974511986e+00,1.776919299785957307e-01,2.801164506614195027e+00,3.828452965353143611e+00
2.420093452006293333e+00,5.235987756011304839e+00,4.639788110136276345e+00,9.911930115418989828e-01,2.059040400864091680e+00,4.210491999290340015e-01,3.062247111438872516e+00,4.840186904012586666e+00
2.925960421262624678e+00,5.759586531511736496e+00,5.136153947954422705e+00,1.516216138075215270e+00,2.321552064930321180e+00,6.644064694682294547e-01,3.323329716205597251e+00,5.851920842525249356e+00
3.431827390671291056e+00,6.283185307128583474e+00,5.632519785924941402e+00,2.041239265087387622e+00,2.584063729290120293e+00,9.077637387049850570e-01,3.584412321030274740e+00,5.804694741629958799e-01
-2.345490946956188427e+00,5.235987756822595429e-01,-1.542996831447496220e-01,2.566262392577675300e+00,2.846575393943114651e+00,-5.132064299548805941e+00,-2.437690381266298445e+00,-4.690981893912376854e+00
-1.839623977593623838e+00,1.047197551182691200e+00,-5.941119152399940262e+00,3.091285520196853653e+00,3.109087058714692819e+00,-4.888707031092342170e+00,-2.176607776499574598e+00,-3.679247955187247676e+00
-1.333757008078980011e+00,1.570796326799538178e+00,-5.444753314323461879e+00,3.616308648294682015e+00,3.371598723779730911e+00,-4.645349762938463023e+00,-1.915525171674769211e+00,-2.667514016157960022e+00
-8.278900384160570169e-01,2.094395102532800479e+00,-4.948387476100705840e+00,4.141331776871439274e+00,3.634110389138365260e+00,-4.401992495091105795e+00,-1.654442566792011071e+00,-1.655780076832114034e+00
-3.220230689513137179e-01,2.617993878033232136e+00,-4.452021638076176124e+00,4.666354905576623580e+00,3.896622054615343167e+00,-4.158635227721476646e+00,-1.393359962025286336e+00,-6.440461379026274358e-01
1.838439006695855582e-01,3.141592653650079114e+00,-3.955655799893424085e+00,5.191378034760516513e+00,4.159133720385802313e+00,-3.915277960650377587e+00,-1.132277357200481838e+00,3.676878013391711164e-01
6.897108703218370884e-01,3.665191429266926093e+00,-3.459289961681355496e+00,5.716401164306457616e+00,4.421645386391409360e+00,-3.671920693944279002e+00,-8.711947523756764511e-01,1.379421740643674177e+00
1.195577839780237017e+00,4.188790204650942428e+00,-2.962924123661152986e+00,6.241424293981134852e+00,4.684157052515507402e+00,-3.428563427711726952e+00,-6.101121476670332555e-01,2.391155679560474034e+00
1.701444809620002552e+00,4.712388980384204729e+00,-2.466558285261553074e+00,4.832621171883157984e-01,4.946668719049769791e+00,-3.185206161669177138e+00,-3.490295427841472176e-01,3.402889619240005104e+00
2.207311779491385018e+00,5.235987756117467029e+00,-1.970192446832385702e+00,1.008285247937438456e+00,5.209180385819326631e+00,-2.941848895991509227e+00,-8.794693790138907730e-02,4.414623558982770035e+00
