# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio11/08/202200:00
9.730774407725363284e-01,1.000000000000000000e+00,9.730774407725363284e-01,1.233876602608019457e+00,1.089206003661275846e+00,1.144037208860301691e+00,1.000000000000000000e+00,9.468797057404289008e-01
9.730764740863294682e-01,1.000000000000000000e+00,9.730764740863294682e-01,1.233884615284488007e+00,1.089208401928688730e+00,1.144041127872834629e+00,1.000000000000000000e+00,9.468778244202830097e-01
9.730755074405078586e-01,1.000000000000000000e+00,9.730755074405078586e-01,1.233892627638102146e+00,1.089210800078801000e+00,1.144045046696792634e+00,1.000000000000000000e+00,9.468759431806018645e-01
9.730745408350724990e-01,1.000000000000000000e+00,9.730745408350724990e-01,1.233900639668850108e+00,1.089213198111611991e+00,1.144048965332173928e+00,1.000000000000000000e+00,9.468740620213871306e-01
9.730735742700251656e-01,1.000000000000000000e+00,9.730735742700251656e-01,1.233908651376722343e+00,1.089215596027121258e+00,1.144052883778978513e+00,1.000000000000000000e+00,9.468721809426421387e-01
9.730726077453666356e-01,1.000000000000000000e+00,9.730726077453666356e-01,1.233916662761701977e+00,1.089217993825326802e+00,1.144056802037201725e+00,1.000000000000000000e+00,9.468702999443681101e-01
9.730716412610992405e-01,1.000000000000000000e+00,9.730716412610992405e-01,1.233924673823774798e+00,1.089220391506227292e+00,1.144060720106841789e+00,1.000000000000000000e+00,9.468684190265693745e-01
9.730706748172226472e-01,1.000000000000000000e+00,9.730706748172226472e-01,1.233932684562934368e+00,1.089222789069823616e+00,1.144064637987898703e+00,1.000000000000000000e+00,9.468665381892450439e-01
9.730697084137406305e-01,1.000000000000000000e+00,9.730697084137406305e-01,1.233940694979158481e+00,1.089225186516111332e+00,1.144068555680367139e+00,1.000000000000000000e+00,9.468646574324022236e-01
9.730687420506529683e-01,1.000000000000000000e+00,9.730687420506529683e-01,1.233948705072439145e+00,1.089227583845091774e+00,1.144072473184246430e+00,1.000000000000000000e+00,9.468627767560402475e-01
9.730677757279609930e-01,1.000000000000000000e+00,9.730677757279609930e-01,1.233956714842763480e+00,1.089229981056763163e+00,1.144076390499534579e+00,1.000000000000000000e+00,9.468608961601614471e-01
9.730668094456669248e-01,1.000000000000000000e+00,9.730668094456669248e-01,1.233964724290117720e+00,1.089232378151124392e+00,1.144080307626229587e+00,1.000000000000000000e+00,9.468590156447698192e-01
9.730658432037712080e-01,1.000000000000000000e+00,9.730658432037712080e-01,1.233972733414485878e+00,1.089234775128173460e+00,1.144084224564327457e+00,1.000000000000000000e+00,9.468571352098662519e-01
9.730648770022760630e-01,1.000000000000000000e+00,9.730648770022760630e-01,1.233980742215858628e+00,1.089237171987910369e+00,1.144088141313828189e+00,1.000000000000000000e+00,9.468552548554546311e-01
9.730639108411817118e-01,1.000000000000000000e+00,9.730639108411817118e-01,1.233988750694223313e+00,1.089239568730334451e+00,1.144092057874729562e+00,1.000000000000000000e+00,9.468533745815351788e-01
9.730629447204913740e-01,1.000000000000000000e+00,9.730629447204913740e-01,1.233996758849561504e+00,1.089241965355442598e+00,1.144095974247026914e+00,1.000000000000000000e+00,9.468514943881140011e-01
9.730619786402049387e-01,1.000000000000000000e+00,9.730619786402049387e-01,1.234004766681864318e+00,1.089244361863234811e+00,1.144099890430720023e+00,1.000000000000000000e+00,9.468496142751906541e-01
9.730610126003236271e-01,1.000000000000000000e+00,9.730610126003236271e-01,1.234012774191121986e+00,1.089246758253711311e+00,1.144103806425808223e+00,1.000000000000000000e+00,9.468477342427671362e-01
9.730600466008498817e-01,1.000000000000000000e+00,9.730600466008498817e-01,1.234020781377311415e+00,1.089249154526867880e+00,1.144107722232284852e+00,1.000000000000000000e+00,9.468458542908481101e-01
9.730590806417839245e-01,1.000000000000000000e+00,9.730590806417839245e-01,1.234028788240429275e+00,1.089251550682706071e+00,1.144111637850152130e+00,1.000000000000000000e+00,9.468439744194337981e-01
9.730581147231285311e-01,1.000000000000000000e+00,9.730581147231285311e-01,1.234036794780456470e+00,1.089253946721223443e+00,1.144115553279405173e+00,1.000000000000000000e+00,9.468420946285291961e-01
9.730571488448837014e-01,1.000000000000000000e+00,9.730571488448837014e-01,1.234044800997381452e+00,1.089256342642418884e+00,1.144119468520042426e+00,1.000000000000000000e+00,9.468402149181341931e-01
9.730561830070519891e-01,1.000000000000000000e+00,9.730561830070519891e-01,1.234052806891192233e+00,1.089258738446291952e+00,1.144123383572062558e+00,1.000000000000000000e+00,9.468383352882534520e-01
9.730552172096338381e-01,1.000000000000000000e+00,9.730552172096338381e-01,1.234060812461873935e+00,1.089261134132841091e+00,1.144127298435462237e+00,1.000000000000000000e+00,9.468364557388876390e-01
9.730542514526309139e-01,1.000000000000000000e+00,9.730542514526309139e-01,1.234068817709415677e+00,1.089263529702065192e+00,1.144131213110240575e+00,1.000000000000000000e+00,9.468345762700398627e-01
