# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
9.639574240927534232e-01,1.000000000000000000e+00,9.639574240927534232e-01,1.309963925853427025e+00,1.111087462966053430e+00,1.179939165947299973e+00,1.000000000000000000e+00,9.292139154635364884e-01
9.639571407786069468e-01,1.000000000000000000e+00,9.639571407786069468e-01,1.309966303782893915e+00,1.111088120087144304e+00,1.179940248991248053e+00,1.000000000000000000e+00,9.292133692580670790e-01
9.639568575177116516e-01,1.000000000000000000e+00,9.639568575177116516e-01,1.309968681266236556e+00,1.111088777083349299e+00,1.179941331829688300e+00,1.000000000000000000e+00,9.292128231554218631e-01
9.639565743100675377e-01,1.000000000000000000e+00,9.639565743100675377e-01,1.309971058303452063e+00,1.111089433954668859e+00,1.179942414462620714e+00,1.000000000000000000e+00,9.292122771556007299e-01
9.639562911556749381e-01,1.000000000000000000e+00,9.639562911556749381e-01,1.309973434894535549e+00,1.111090090701101873e+00,1.179943496890044186e+00,1.000000000000000000e+00,9.292117312586043454e-01
9.639560080545344078e-01,1.000000000000000000e+00,9.639560080545344078e-01,1.309975811039484350e+00,1.111090747322649230e+00,1.179944579111958713e+00,1.000000000000000000e+00,9.292111854644335978e-01
9.639557250066463912e-01,1.000000000000000000e+00,9.639557250066463912e-01,1.309978186738293582e+00,1.111091403819310042e+00,1.179945661128363632e+00,1.000000000000000000e+00,9.292106397730892642e-01
9.639554420120112210e-01,1.000000000000000000e+00,9.639554420120112210e-01,1.309980561990959691e+00,1.111092060191084308e+00,1.179946742939258497e+00,1.000000000000000000e+00,9.292100941845718998e-01
9.639551590706291195e-01,1.000000000000000000e+00,9.639551590706291195e-01,1.309982936797478459e+00,1.111092716437972028e+00,1.179947824544642421e+00,1.000000000000000000e+00,9.292095486988818376e-01
9.639548761825013079e-01,1.000000000000000000e+00,9.639548761825013079e-01,1.309985311157846777e+00,1.111093372559973202e+00,1.179948905944516291e+00,1.000000000000000000e+00,9.292090033160214091e-01
9.639545933476271200e-01,1.000000000000000000e+00,9.639545933476271200e-01,1.309987685072060648e+00,1.111094028557087166e+00,1.179949987138878331e+00,1.000000000000000000e+00,9.292084580359891710e-01
9.639543105660071109e-01,1.000000000000000000e+00,9.639543105660071109e-01,1.309990058540117408e+00,1.111094684429314805e+00,1.179951068127729430e+00,1.000000000000000000e+00,9.292079128587861225e-01
9.639540278376423910e-01,1.000000000000000000e+00,9.639540278376423910e-01,1.309992431562010617e+00,1.111095340176654345e+00,1.179952148911067811e+00,1.000000000000000000e+00,9.292073677844142621e-01
9.639537451625327380e-01,1.000000000000000000e+00,9.639537451625327380e-01,1.309994804137739610e+00,1.111095995799107561e+00,1.179953229488894806e+00,1.000000000000000000e+00,9.292068228128731455e-01
9.639534625406785961e-01,1.000000000000000000e+00,9.639534625406785961e-01,1.309997176267297503e+00,1.111096651296672677e+00,1.179954309861207973e+00,1.000000000000000000e+00,9.292062779441634390e-01
9.639531799720801875e-01,1.000000000000000000e+00,9.639531799720801875e-01,1.309999547950682519e+00,1.111097306669350582e+00,1.179955390028007534e+00,1.000000000000000000e+00,9.292057331782855867e-01
9.639528974567388442e-01,1.000000000000000000e+00,9.639528974567388442e-01,1.310001919187891328e+00,1.111097961917140609e+00,1.179956469989294598e+00,1.000000000000000000e+00,9.292051885152420310e-01
9.639526149946537892e-01,1.000000000000000000e+00,9.639526149946537892e-01,1.310004289978918601e+00,1.111098617040042758e+00,1.179957549745066725e+00,1.000000000000000000e+00,9.292046439550312176e-01
9.639523325858263547e-01,1.000000000000000000e+00,9.639523325858263547e-01,1.310006660323761229e+00,1.111099272038057251e+00,1.179958629295324801e+00,1.000000000000000000e+00,9.292040994976555890e-01
9.639520502302562077e-01,1.000000000000000000e+00,9.639520502302562077e-01,1.310009030222414550e+00,1.111099926911183200e+00,1.179959708640067273e+00,1.000000000000000000e+00,9.292035551431143681e-01
9.639517679279440143e-01,1.000000000000000000e+00,9.639517679279440143e-01,1.310011399674876120e+00,1.111100581659420605e+00,1.179960787779294584e+00,1.000000000000000000e+00,9.292030108914088871e-01
9.639514856788902186e-01,1.000000000000000000e+00,9.639514856788902186e-01,1.310013768681142610e+00,1.111101236282770577e+00,1.179961866713006957e+00,1.000000000000000000e+00,9.292024667425397011e-01
9.639512034830955978e-01,1.000000000000000000e+00,9.639512034830955978e-01,1.310016137241207135e+00,1.111101890781231116e+00,1.179962945441201727e+00,1.000000000000000000e+00,9.292019226965083645e-01
