# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']
5.990605597582794317e+00,1.570796326785888652e+00,3.556335047551499429e+00,1.894679815083781804e+00,2.519776895265268823e+00,3.481618891999822996e+00,5.307158413447119472e+00,5.698025887986002402e+00
2.132897593270577374e-01,2.094395102460943292e+00,4.052703385192906183e+00,2.419722945167714911e+00,2.782298159044343855e+00,3.724965057596144824e+00,5.568241018304584955e+00,4.265795186541154749e-01
7.191592280893610578e-01,2.617993877961374949e+00,4.549071722673771134e+00,2.944766075139437334e+00,3.044819422761396943e+00,3.968311223087131800e+00,5.829323623074991190e+00,1.438318456178722116e+00
1.225028696975820175e+00,3.141592653578221928e+00,5.045440060276762395e+00,3.469809205290738774e+00,3.307340686562322496e+00,4.211657388612593422e+00,6.090406227903478964e+00,2.450057393951640350e+00
1.730898165877890804e+00,3.665191429195068906e+00,5.541808397897394656e+00,3.994852335504939234e+00,3.569861950388782290e+00,4.455003554122322740e+00,6.830352555238050627e-02,3.461796331755781608e+00
2.236767634789478265e+00,4.188790204811915885e+00,6.038176735526537442e+00,4.519895465782026278e+00,3.832383214240771441e+00,4.698349719610231290e+00,3.293861303808682806e-01,4.473535269578956530e+00
2.742637103652242558e+00,4.712388980370555203e+00,2.513597659262440942e-01,5.044938596063653691e+00,4.094904478089117283e+00,4.941695885047153070e+00,5.904687351803152850e-01,5.485274207304485117e+00
3.248506572589073826e+00,5.235987755987402181e+00,7.477281035816396582e-01,5.569981726466604499e+00,4.357425741992213553e+00,5.185042050497587596e+00,8.515513400087391105e-01,2.138278379985614208e-01
3.754376041535156361e+00,5.759586531604249160e+00,1.244096441245270412e+00,6.095024856932148793e+00,4.619947005920695737e+00,5.428388215926085003e+00,1.112633944837290834e+00,1.225566775890726490e+00
-2.022939796688587144e+00,4.150990662310505286e-11,1.740464778917644173e+00,3.368826802812001642e-01,-1.400717037304771484e+00,-6.114509258466833685e-01,1.373716549665714881e+00,-4.045879593377174288e+00
-1.517070327775605021e+00,5.235987756001492244e-01,2.236833116549189260e+00,8.619258108142036079e-01,-1.138195773354377938e+00,-3.681047604848042276e-01,1.634799154465162108e+00,-3.034140655551210042e+00
-1.011200858851091011e+00,1.047197551158788542e+00,2.733201454192258684e+00,1.386968941410018585e+00,-8.756745093784860101e-01,-1.247585951426914280e-01,1.895881759264609556e+00,-2.022401717702182022e+00
-5.053313898024394124e-01,1.570796326833843182e+00,3.229569791957449976e+00,1.912012072185308442e+00,-6.131532453187631404e-01,1.185875702339278942e-01,2.156964364122137212e+00,-1.010662779604878825e+00
5.380792014376134524e-04,2.094395102450690160e+00,3.725938129678873167e+00,2.437055202965050071e+00,-3.506319812627193833e-01,3.619337355636537135e-01,2.418046968950624986e+00,1.076158402875226905e-03
5.064075481002991985e-01,2.617993877951121817e+00,4.222306467295265264e+00,2.962098333691028262e+00,-8.811071723946163614e-02,6.052799008153531002e-01,2.679129573720968605e+00,1.012815096200598397e+00
1.012277017129259438e+00,3.141592653567968796e+00,4.718674805042788911e+00,3.487141464596314133e+00,1.744105468675471726e-01,8.486260661076038270e-01,2.940212178549456379e+00,2.024554034258518875e+00
