,M2,S2,N2,K2,K1,O1,P1
2022-10-21 03:45:00,0.9735177574843393,1.0,0.9735177574843393,1.2302281426009525,1.0881118341219356,1.1422495467714477,1.0
2022-10-21 03:50:00,0.97351767541875,1.0,0.97351767541875,1.23022882236413,1.0881120383831275,1.1422498804352372,1.0
2022-10-21 03:55:00,0.9735175933534368,1.0,0.9735175933534368,1.2302295021251068,1.0881122426435088,1.142250214097724,1.0
2022-10-21 04:00:00,0.9735175112884001,1.0,0.9735175112884001,1.2302301818838848,1.0881124469030794,1.142250547758909,1.0
2022-10-21 04:05:00,0.9735174292236394,1.0,0.9735174292236394,1.2302308616404602,1.0881126511618384,1.1422508814187904,1.0
2022-10-21 04:10:00,0.9735173471591546,1.0,0.9735173471591546,1.2302315413948353,1.0881128554197865,1.1422512150773694,1.0
2022-10-21 04:15:00,0.9735172650949458,1.0,0.9735172650949458,1.2302322211470103,1.088113059676924,1.1422515487346456,1.0
2022-10-21 04:20:00,0.9735171830310135,1.0,0.9735171830310135,1.2302329008969861,1.0881132639332507,1.1422518823906205,1.0
2022-10-21 04:25:00,0.973517100967357,1.0,0.973517100967357,1.230233580644762,1.0881134681887665,1.1422522160452926,1.0
2022-10-21 04:30:00,0.9735170189039767,1.0,0.9735170189039767,1.2302342603903356,1.088113672443471,1.1422525496986615,1.0
2022-10-21 04:35:00,0.9735169368408725,1.0,0.9735169368408725,1.2302349401337094,1.0881138766973648,1.1422528833507282,1.0
2022-10-21 04:40:00,0.9735168547780443,1.0,0.9735168547780443,1.2302356198748838,1.088114080950448,1.1422532170014927,1.0
2022-10-21 04:45:00,0.9735167727154924,1.0,0.9735167727154924,1.2302362996138565,1.0881142852027197,1.1422535506509541,1.0
2022-10-21 04:50:00,0.9735166906532167,1.0,0.9735166906532167,1.230236979350627,1.08811448945418,1.142253884299112,1.0
2022-10-21 04:55:00,0.9735166085912171,1.0,0.9735166085912171,1.2302376590851984,1.0881146937048298,1.1422542179459683,1.0
2022-10-21 05:00:00,0.9735165265294934,1.0,0.9735165265294934,1.2302383388175695,1.0881148979546689,1.142254551591522,1.0
2022-10-21 05:05:00,0.9735164444680459,1.0,0.9735164444680459,1.2302390185477396,1.0881151022036968,1.1422548852357728,1.0
2022-10-21 05:10:00,0.9735163624068744,1.0,0.9735163624068744,1.2302396982757118,1.0881153064519142,1.1422552188787225,1.0
2022-10-21 05:15:00,0.9735162803459793,1.0,0.9735162803459793,1.2302403780014821,1.0881155106993208,1.1422555525203688,1.0
2022-10-21 05:20:00,0.9735161982853597,1.0,0.9735161982853597,1.2302410577250509,1.0881157149459157,1.142255886160712,1.0
2022-10-21 05:25:00,0.9735161162250168,1.0,0.9735161162250168,1.2302417374464218,1.0881159191917007,1.1422562197997541,1.0
2022-10-21 05:30:00,0.9735160341649496,1.0,0.9735160341649496,1.2302424171655915,1.0881161234366745,1.1422565534374933,1.0
2022-10-21 05:35:00,0.9735159521051587,1.0,0.9735159521051587,1.23024309688256,1.0881163276808372,1.1422568870739296,1.0
2022-10-21 05:40:00,0.9735158700456439,1.0,0.9735158700456439,1.2302437765973269,1.0881165319241886,1.1422572207090627,1.0
2022-10-21 05:45:00,0.9735157879864051,1.0,0.9735157879864051,1.2302444563098944,1.0881167361667294,1.1422575543428939,1.0
2022-10-21 05:50:00,0.9735157059274426,1.0,0.9735157059274426,1.230245136020262,1.0881169404084594,1.1422578879754228,1.0
2022-10-21 05:55:00,0.9735156238687562,1.0,0.9735156238687562,1.230245815728428,1.0881171446493783,1.1422582216066486,1.0
2022-10-21 06:00:00,0.9735155418103457,1.0,0.9735155418103457,1.2302464954343932,1.088117348889486,1.1422585552365718,1.0
2022-10-21 06:05:00,0.9735154597522117,1.0,0.9735154597522117,1.2302471751381585,1.0881175531287832,1.142258888865193,1.0
2022-10-21 06:10:00,0.9735153776943536,1.0,0.9735153776943536,1.2302478548397235,1.0881177573672693,1.1422592224925114,1.0
2022-10-21 06:15:00,0.9735152956367713,1.0,0.9735152956367713,1.2302485345390897,1.088117961604945,1.142259556118528,1.0
2022-10-21 06:20:00,0.9735152135794656,1.0,0.9735152135794656,1.2302492142362527,1.088118165841809,1.142259889743241,1.0
2022-10-21 06:25:00,0.9735151315224357,1.0,0.9735151315224357,1.2302498939312154,1.0881183700778623,1.1422602233666515,1.0
2022-10-21 06:30:00,0.9735150494656822,1.0,0.9735150494656822,1.2302505736239773,1.0881185743131043,1.1422605569887596,1.0
2022-10-21 06:35:00,0.9735149674092043,1.0,0.9735149674092043,1.2302512533145409,1.0881187785475364,1.142260890609566,1.0
2022-10-21 06:40:00,0.973514885353003,1.0,0.973514885353003,1.2302519330029014,1.0881189827811566,1.1422612242290686,1.0
2022-10-21 06:45:00,0.9735148032970781,1.0,0.9735148032970781,1.230252612689062,1.0881191870139661,1.1422615578472692,1.0
2022-10-21 06:50:00,0.9735147212414292,1.0,0.9735147212414292,1.2302532923730214,1.0881193912459646,1.142261891464167,1.0
2022-10-21 06:55:00,0.973514639186056,1.0,0.973514639186056,1.2302539720547818,1.0881195954771525,1.1422622250797627,1.0
2022-10-21 07:00:00,0.9735145571309589,1.0,0.9735145571309589,1.23025465173434,1.0881197997075291,1.1422625586940551,1.0
2022-10-21 07:05:00,0.973514475076138,1.0,0.973514475076138,1.2302553314116982,1.0881200039370948,1.1422628923070455,1.0
2022-10-21 07:10:00,0.9735143930215936,1.0,0.9735143930215936,1.2302560110868552,1.0881202081658496,1.1422632259187329,1.0
2022-10-21 07:15:00,0.9735143109673251,1.0,0.9735143109673251,1.230256690759812,1.0881204123937933,1.142263559529118,1.0
2022-10-21 07:20:00,0.9735142289133327,1.0,0.9735142289133327,1.2302573704305693,1.0881206166209265,1.142263893138201,1.0
2022-10-21 07:25:00,0.9735141468596166,1.0,0.9735141468596166,1.230258050099126,1.0881208208472488,1.1422642267459817,1.0
2022-10-21 07:30:00,0.9735140648061762,1.0,0.9735140648061762,1.2302587297654806,1.08812102507276,1.1422645603524588,1.0
2022-10-21 07:35:00,0.9735139827530124,1.0,0.9735139827530124,1.2302594094296342,1.0881212292974598,1.1422648939576334,1.0
2022-10-21 07:40:00,0.9735139007001248,1.0,0.9735139007001248,1.2302600890915876,1.088121433521349,1.1422652275615057,1.0
2022-10-21 07:45:00,0.9735138186475129,1.0,0.9735138186475129,1.230260768751342,1.0881216377444276,1.1422655611640762,1.0
2022-10-21 07:50:00,0.9735137365951769,1.0,0.9735137365951769,1.2302614484088936,1.0881218419666947,1.1422658947653428,1.0
2022-10-21 07:55:00,0.9735136545431178,1.0,0.9735136545431178,1.2302621280642447,1.088122046188151,1.1422662283653073,1.0
2022-10-21 08:00:00,0.9735135724913344,1.0,0.9735135724913344,1.230262807717395,1.088122250408796,1.142266561963969,1.0
2022-10-21 08:05:00,0.9735134904398274,1.0,0.9735134904398274,1.230263487368345,1.0881224546286306,1.1422668955613284,1.0
2022-10-21 08:10:00,0.973513408388596,1.0,0.973513408388596,1.2302641670170948,1.0881226588476542,1.1422672291573854,1.0
2022-10-21 08:15:00,0.9735133263376413,1.0,0.9735133263376413,1.2302648466636437,1.0881228630658668,1.14226756275214,1.0
2022-10-21 08:20:00,0.9735132442869626,1.0,0.9735132442869626,1.2302655263079907,1.0881230672832682,1.142267896345591,1.0
2022-10-21 08:25:00,0.9735131622365599,1.0,0.9735131622365599,1.2302662059501372,1.0881232714998585,1.14226822993774,1.0
2022-10-21 08:30:00,0.9735130801864332,1.0,0.9735130801864332,1.2302668855900851,1.0881234757156388,1.142268563528587,1.0
2022-10-21 08:35:00,0.9735129981365829,1.0,0.9735129981365829,1.2302675652278303,1.0881236799306073,1.142268897118131,1.0
2022-10-21 08:40:00,0.9735129160870089,1.0,0.9735129160870089,1.2302682448633748,1.0881238841447651,1.1422692307063722,1.0
2022-10-21 08:45:00,0.9735128340377109,1.0,0.9735128340377109,1.230268924496718,1.0881240883581118,1.1422695642933105,1.0
2022-10-21 08:50:00,0.9735127519886888,1.0,0.9735127519886888,1.2302696041278622,1.0881242925706478,1.1422698978789472,1.0
2022-10-21 08:55:00,0.9735126699399428,1.0,0.9735126699399428,1.2302702837568062,1.088124496782373,1.1422702314632813,1.0
2022-10-21 09:00:00,0.9735125878914735,1.0,0.9735125878914735,1.2302709633835474,1.088124700993287,1.1422705650463123,1.0
2022-10-21 09:05:00,0.9735125058432803,1.0,0.9735125058432803,1.2302716430080862,1.0881249052033894,1.1422708986280399,1.0
2022-10-21 09:10:00,0.9735124237953627,1.0,0.9735124237953627,1.2302723226304269,1.0881251094126816,1.1422712322084658,1.0
